,9 Point Prediction
2013-06-03,0.16804083
2013-06-04,0.16802277
2013-06-05,0.16796513
2013-06-06,0.16798086
2013-06-07,0.16791435
2013-06-08,0.16795057
2013-06-09,0.16794147
2013-06-10,0.16792713
2013-06-11,0.16795723
2013-06-12,0.1678979
2013-06-13,0.16791722
2013-06-14,0.1679013
2013-06-15,0.16792592
2013-06-16,0.16795838
2013-06-17,0.1678683
2013-06-18,0.16838871
2013-06-19,0.16815561
2013-06-20,0.16806678
2013-06-21,0.16841955
2013-06-22,0.16913335
2013-06-23,0.16973798
2013-06-24,0.16834956
2013-06-25,0.1685008
2013-06-26,0.1688783
2013-06-27,0.1687323
2013-06-28,0.16899693
2013-06-29,0.16837673
2013-06-30,0.16837673
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-06,
2013-07-07,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-13,0.19044474
2013-07-14,0.2071531
2013-07-15,0.20890014
2013-07-16,0.20890014
2013-07-17,0.20890014
2013-07-18,0.2095443
2013-07-19,0.22389154
2013-07-20,0.23849343
2013-07-21,0.23849343
2013-07-22,0.23812959
2013-07-23,0.23604362
2013-07-24,0.21193549
2013-07-25,0.19954593
2013-07-26,0.24748616
2013-07-27,0.24287291
2013-07-28,0.24694686
2013-07-29,0.23497467
2013-07-30,0.23497467
2013-07-31,0.23905009
2013-08-01,0.2273212
2013-08-02,0.24307369
2013-08-03,0.23512255
2013-08-04,0.24673252
2013-08-05,0.24208172
2013-08-06,0.26112723
2013-08-07,0.2955331
2013-08-08,0.27672786
2013-08-09,
2013-08-10,
2013-08-11,
2013-08-12,
2013-08-13,0.23703276
2013-08-14,0.25705934
2013-08-15,0.2419269
2013-08-16,0.24114858
2013-08-17,0.2037648
2013-08-18,0.18130784
2013-08-19,0.17157365
2013-08-20,0.17066912
2013-08-21,0.16972716
2013-08-22,0.1695512
2013-08-23,0.17051254
2013-08-24,0.16960551
2013-08-25,0.17020859
2013-08-26,0.17010081
2013-08-27,0.16971669
2013-08-28,0.17041603
2013-08-29,0.1705471
2013-08-30,0.17068033
2013-08-31,0.17011857
2013-09-01,0.16992234
2013-09-02,0.17004925
2013-09-03,0.17003076
2013-09-04,0.16934901
2013-09-05,0.16957532
2013-09-06,0.1691069
2013-09-07,0.16988541
2013-09-08,0.16984148
2013-09-09,0.16980566
2013-09-10,0.17010172
2013-09-11,0.17063834
2013-09-12,0.17033027
2013-09-13,0.17043275
2013-09-14,0.17589264
2013-09-15,0.17415504
2013-09-16,0.17228259
2013-09-17,0.1720693
2013-09-18,0.17107
2013-09-19,0.17249002
2013-09-20,0.17147253
2013-09-21,0.17114456
2013-09-22,0.17100121
2013-09-23,0.17110173
2013-09-24,0.17079647
2013-09-25,0.17121346
2013-09-26,0.16853885
2013-09-27,0.16815574
2013-09-28,0.16815077
2013-09-29,0.16844682
2013-09-30,0.16834517
2013-10-01,0.1684602
2013-10-02,0.16845864
2013-10-03,0.16866075
2013-10-04,0.16869481
2013-10-05,0.16864328
2013-10-06,0.16859622
2013-10-07,0.16860373
2013-10-08,0.16944045
2013-10-09,0.16948107
2013-10-10,0.16871025
2013-10-11,0.16912554
2013-10-12,0.16835663
2013-10-13,0.16882028
2013-10-14,0.168626
2013-10-15,0.16793421
2013-10-16,0.1681286
2013-10-17,0.16811734
2013-10-18,0.16773963
2013-10-19,0.16777517
2013-10-20,0.16830488
2013-10-21,0.16828285
2013-10-22,0.16824469
2013-10-23,0.16824469
2013-10-24,0.16853978
2013-10-25,0.16875976
2013-10-26,0.16891618
2013-10-27,0.16886827
2013-10-28,0.16837204
2013-10-29,0.16844101
2013-10-30,0.16967964
2013-10-31,0.16915588
2013-11-01,0.1687059
2013-11-02,0.16783257
2013-11-03,0.16741009
2013-11-04,0.16762011
2013-11-05,0.16758694
2013-11-06,0.16797486
2013-11-07,0.16808088
2013-11-08,0.16811366
2013-11-09,0.1681333
2013-11-10,0.1681333
2013-11-11,0.16799353
2013-11-12,0.1681941
2013-11-13,0.16942944
2013-11-14,0.16804723
2013-11-15,0.16814856
2013-11-16,0.16865192
2013-11-17,0.1689661
2013-11-18,0.16898987
2013-11-19,0.16958033
2013-11-20,0.17021658
2013-11-21,0.16948996
2013-11-22,0.17177548
2013-11-23,0.16923468
2013-11-24,0.16833937
2013-11-25,0.16934828
2013-11-26,0.16921546
2013-11-27,0.16881862
2013-11-28,0.17006572
2013-11-29,0.16993478
2013-11-30,0.17008325
2013-12-01,0.17022993
2013-12-02,0.16972418
2013-12-03,0.16992898
2013-12-04,0.17031223
2013-12-05,0.1713927
2013-12-06,0.16981281
2013-12-07,0.16997518
2013-12-08,0.17056526
2013-12-09,0.17264287
2013-12-10,0.17858721
2013-12-11,0.19779746
2013-12-12,0.19932556
2013-12-13,0.27569014
2013-12-14,0.2417656
2013-12-15,0.29937875
2013-12-16,0.18368667
2013-12-17,0.1907694
2013-12-18,0.25177807
2013-12-19,0.24380486
2013-12-20,0.36533704
2013-12-21,0.2804355
2013-12-22,0.32416496
2013-12-23,0.3257132
2013-12-24,0.32507706
2013-12-25,0.32014066
2013-12-26,0.37372726
2013-12-27,0.37554723
2013-12-28,0.34913096
2013-12-29,0.44638133
2013-12-30,0.47023207
2013-12-31,0.45349795
2014-01-01,0.45349795
2014-01-02,0.46048522
2014-01-03,0.47061217
2014-01-04,0.46282718
2014-01-05,0.4597318
2014-01-06,0.3388288
2014-01-07,0.4020772
2014-01-08,0.4332302
2014-01-09,0.39410615
2014-01-10,0.2557209
2014-01-11,0.17705442
2014-01-12,0.17733718
2014-01-13,0.23289791
2014-01-14,0.23455997
2014-01-15,0.29627618
2014-01-16,0.46462935
2014-01-17,0.3977685
