,gap_length,Linear Interpolation (MAPE),Linear Interpolation (RMSE),Polynomial (MAPE),Polynomial (RMSE),Cubic (MAPE),Cubic (RMSE),Mean Imputation (MAPE),Mean Imputation (RMSE),Spatial Linear Interpolation (MAPE),Spatial Linear Interpolation (RMSE),3 Point Prediction (MAPE),3 Point Prediction (RMSE),9 Point Prediction (MAPE),9 Point Prediction (RMSE)
2019-05-15,13,0.099288284772077,0.0136424873215063,0.1772050257666177,0.0219445469875301,0.162664680370669,0.0202206879946475,1.4216224682091103,0.1535431035988951,0.0506235797288285,0.0062042971859372,0.0563685595930452,0.0071591801307015,0.0402309373053406,0.0049251442171905
2017-11-12,18,0.1566615674046581,0.0403161029601663,0.116470624044447,0.0371109022604013,0.1176147937119418,0.037461151472905,0.3577635680852278,0.0741287119192871,0.147431385652471,0.0363539457968457,0.165640181839274,0.0594596935121103,0.0879640319768636,0.018682629957532
2013-04-06,16,0.4355037818245614,0.0721844647406287,0.1761776948288302,0.0374591568208214,0.1020011577182457,0.0295288884509853,0.7601698384251887,0.1133066104223242,0.056729607809048,0.010142595459105,0.06285936586485,0.0132452671742442,0.0656953473286453,0.0146542741383388
2014-01-31,13,0.4219599079450064,0.6899322534029803,0.6769053395618964,0.8776624565005032,0.680549493220988,0.8681563190380984,0.5539235602518657,0.7383349816043778,0.4557051737765888,0.5900185869484168,0.3649804284907384,0.6713322164281161,0.3054402688048157,0.5314761478611383
2013-03-17,16,0.3372629991018091,0.0491619694222349,0.8008708280524025,0.1369816907054324,0.7698944574006437,0.1259477200227158,0.8898389377859746,0.1229513947825571,0.1399231611251693,0.0252108024232377,0.1372839549680894,0.0233511059510048,0.1151138778112809,0.0175397362731087
2013-04-22,21,0.0801902260869045,0.0154434452114805,0.3555726517988242,0.0573345596450044,0.3842140982923741,0.0608788311840787,0.9368285592514464,0.1265690131529608,0.044806427012206,0.0070951327747202,0.0307903479876667,0.0059130580506182,0.0481235013833086,0.0082427494600465
2015-05-11,9,0.0103527660610317,0.0012933395813657,0.0507499819664233,0.0070888948443183,0.0768166501208664,0.0096216926512938,1.3698495768089067,0.1518400177240353,0.0300428536938677,0.0034964267474094,0.0296148643255344,0.0037630603896053,0.0351060837613215,0.0041417851891849
2017-09-07,22,0.0831525203345522,0.0147792124544221,0.0939939679834832,0.0172542624943857,0.1016850204257982,0.0174529494337502,0.7860278727088559,0.1155148359951379,0.0622990094104854,0.0124859975920855,0.0530155446167538,0.0103689903626832,0.0862275561878488,0.0182908325647896
2017-10-26,19,0.0598957580183934,0.009566268450315,0.5820484187274462,0.0872955261816488,0.8048308695664594,0.1209087328383299,0.8595851164044224,0.1209651466513689,0.0899946688606957,0.0144319253306688,0.0785542531888482,0.0126955690806828,0.0629585129119353,0.0102115392473201
2018-12-09,15,0.2749622865966263,0.1631555329775134,0.685934219318244,0.2151122214696849,0.7582516676105083,0.2363903486957263,0.2150908631815347,0.1861605511799454,0.3696513164485458,0.1476920955167371,0.2511809376970625,0.1460048050775695,0.2397525369721505,0.1120836759234251
2020-04-17,16,0.1036196768678018,0.0382259650090283,0.3410343529756724,0.1066845194231572,0.3551312254697511,0.1014805554788436,0.2795017175680789,0.0666836867931985,0.1237502118365112,0.0331815831936225,0.1385439486383151,0.04312485464469,0.1538324626104596,0.0543358798512361
2013-03-14,18,0.0358862368097309,0.006836338663041,1.0992068003873594,0.1736961014050433,1.10352844914278,0.1721264844358046,0.8098532008914523,0.1167037692086606,0.1081328343615609,0.0210691413471281,0.122301597118008,0.0222769247466485,0.0982901708134899,0.0160387928738398
2015-12-18,19,0.1929025837432107,0.1172039126601887,0.1892871424759084,0.0920482054192005,0.2075255561837505,0.0937882546000385,0.3179529952457293,0.1788533755963904,0.1572726557673058,0.0656957000114923,0.1377114186579917,0.0637455606433443,0.1578564822501825,0.067682449622805
2016-10-23,19,0.0666423777454632,0.0134567797275173,0.1602330625376109,0.0294734427913801,0.1979088961741782,0.0343817570167632,0.6870838913864428,0.1068678834460849,0.0892947943619126,0.0149877293560432,0.0846416234194457,0.0144216728155063,0.0764151943413682,0.0162061512134923
2015-04-20,11,0.0604181601858652,0.0087130170817384,0.0633863009185714,0.0095238977886613,0.0679748899476394,0.0099220457457911,0.963304836492354,0.128590582707646,0.0627893513904796,0.009639464239953,0.0944070435602663,0.014641900379106,0.059044799603692,0.0099182803236809
2017-06-03,12,0.062503149760866,0.0069732613335779,0.0638787965397355,0.0080331891892598,0.0700262858259794,0.0089365193952217,1.4942076324350806,0.1570807512436463,0.0589482376562892,0.0070596701273991,0.0635694502735853,0.0078683011397948,0.0534863686213906,0.0063917714564933
2014-06-16,23,0.2615787451147212,0.0356179102312794,0.2301458296774844,0.0397597134389473,0.5549499197851507,0.0892946341336051,1.1819268208790463,0.1423037748919629,0.0463777526686077,0.0064661352918296,0.071284399633135,0.0102312456910851,0.0779418522334413,0.0107529922907618
2016-10-30,23,0.0989037124254271,0.0174652035010569,0.274488461053649,0.0519954647726226,0.2399690022150532,0.0474970952651376,0.6720917030653064,0.1055760021290181,0.0781411861827059,0.013925630222124,0.0909529254226882,0.0165802921356931,0.0522871677770276,0.0118172228488472
