,Gap RMSE,High-Freq Energy,Detail Energy,Peak Overshoot,Wavelet L2 (DWT),Wavelet RMSE (DWT),Wavelet Corr (DWT),Wavelet Cosine Sim (DWT),Energy Ratio per Scale (DWT),Mean Wavelet Coherence (CWT)
Linear Interpolation,0.18496941206235376,7.827002429527838,0.1517096864427397,0.11299999999999999,1.3079312558137912,0.07041665172663539,0.9566336962103127,0.95850411104144,"[np.float64(0.7402691828805372), np.float64(0.3746384219375875), np.float64(0.10825504432286243), np.float64(0.16830337199657255), np.float64(0.35440952629059747), np.float64(0.23122030743283353)]",0.21137185151745172
3 Point Prediction,0.09772456174188945,36.859440344179696,0.6325452462809865,0.2465921036526561,0.6910170029617348,0.037203104840907185,0.9863423235750122,0.986884121083798,"[np.float64(0.9699434832870609), np.float64(1.2891144719263024), np.float64(0.4797629767637651), np.float64(0.7118855919257417), np.float64(1.6824054405732332), np.float64(1.1212389691280855)]",0.7790644797656177
9 Point Prediction,0.07058903818801801,27.142853483756234,0.5315563253159119,0.11299999999999999,0.499139875801837,0.026872787572726948,0.9932335842447847,0.9935149593767479,"[np.float64(0.9439131137714027), np.float64(1.2275497357144742), np.float64(0.4770359215206675), np.float64(0.524626870778698), np.float64(0.9609755827065846), np.float64(0.9790201914050204)]",0.8793124372217634
